Symbol,P/E Ratio,P/B Ratio,ROE,Market Cap,1y Return,GICS Sector,GICS Sub-Industry
PGR,17.455881,5.1844683,0.36411,140809928704.0,0.5668306299320521,Financials,Property & Casualty Insurance
PLD,30.960726,1.7905128,0.05662,94914412544.0,-0.23670484470550343,Real Estate,Industrial REITs
PRU,10.339715,1.3587853,0.13773,41328926720.0,0.11799535125552976,Financials,Life & Health Insurance
PEG,20.582308,2.5919735,0.13,41736306688.0,0.3612283944885374,Utilities,Electric Utilities
PTC,60.588146,7.0638247,0.12775,22708586496.0,0.1050154648315566,Information Technology,Application Software
PSA,30.52648,9.786278,0.19163999,51498549248.0,0.01347998240026025,Real Estate,Self-Storage REITs
PHM,8.066371,1.9425304,0.26705,22431868928.0,0.06722606628216224,Consumer Discretionary,Homebuilding
QRVO,,1.9209416,-0.03908,6541247488.0,-0.38357388534282966,Information Technology,Semiconductors
PWR,59.488247,6.7308164,0.12696,47593992192.0,0.4995176897135028,Industrials,Construction & Engineering
QCOM,16.966442,6.4254847,0.42253,168516485120.0,0.0597358170983718,Information Technology,Semiconductors
DGX,20.20699,2.4729006,0.13224,16780198912.0,0.1133821943049674,Health Care,Health Care Services
RL,21.236643,5.658929,0.28424,13820597248.0,0.5778801328839824,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
RJF,15.562951,2.7883992,0.19348,30771003392.0,0.3707053015556074,Financials,Investment Banking & Brokerage
RTX,33.386166,2.5231404,0.073460005,154198671360.0,0.4430742430952458,Industrials,Aerospace & Defense
O,50.338097,1.2028356,0.02513,46259277824.0,-0.07741318384390171,Real Estate,Retail REITs
REG,34.839626,2.0437188,0.0583,13486984192.0,0.10387082002474793,Real Estate,Retail REITs
REGN,17.42707,2.591255,0.17166,77464207360.0,-0.17949929490663286,Health Care,Biotechnology
RF,13.248589,1.2589252,0.10042,21312862208.0,0.20071684272773307,Financials,Regional Banks
RSG,32.732,5.708008,0.18284,64063070208.0,0.2621853074846487,Industrials,Environmental & Facilities Services
RMD,30.565563,6.5200315,0.23565,33876113408.0,0.3650990837415507,Health Care,Health Care Equipment
RVTY,52.811302,1.6929828,0.03308,13368660992.0,0.08587880274320316,Health Care,Health Care Equipment
ROK,34.0579,9.128059,0.25539,31875338240.0,-0.07237900953678092,Industrials,Electrical Components & Equipment
ROL,48.448452,17.271223,0.38792,22759913472.0,0.11494655351391075,Industrials,Environmental & Facilities Services
ROP,38.697575,3.045659,0.08238,56391733248.0,-0.028898465020165666,Information Technology,Electronic Equipment & Instruments
ROST,23.405361,10.209852,0.43236,48958160896.0,0.10788410247016027,Consumer Discretionary,Apparel Retail
RCL,23.012026,8.76498,0.44263,61749833728.0,0.8744695556201371,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
SPGI,43.191696,4.463239,0.099309996,151714971648.0,0.12196519813981292,Financials,Financial Exchanges & Data
